instance;m;j;t;sw;dens;tft;time(s);gap
95;3;15;15;(2,4);[5,7];143;3609.125;0.64202
96;3;15;15;(2,4);[5,7];149;3605.953;0.62978
97;3;15;15;(2,4);[5,7];185;3606.484;0.64895
98;3;15;15;(2,4);[5,7];146;3607.766;0.65638
99;3;15;15;(2,4);[5,7];161;3605.547;0.62095
100;3;15;15;(2,4);[5,7];145;3605.875;0.59864
101;3;20;15;(2,4);[5,7];297;3605.016;0.80807
102;3;20;15;(2,4);[5,7];215;3603.984;0.80726
103;3;20;15;(2,4);[5,7];335;3603.75;0.83132
104;3;20;15;(2,4);[5,7];270;3605.922;0.85888
105;3;20;15;(2,4);[5,7];377;3606.953;0.79718
106;3;20;15;(2,4);[5,7];300;3603.656;0.7822
107;3;20;15;(2,4);[5,7];337;3601.781;0.78918
108;3;20;15;(2,4);[5,7];214;3606.828;0.77822
109;3;20;15;(2,4);[5,7];269;3603.375;0.8141
110;3;20;15;(2,4);[5,7];259;3601.547;0.94696
111;3;20;15;(2,4);[5,7];270;3603.172;0.80419
112;3;20;15;(2,4);[5,7];336;3601.906;0.97518
113;3;20;15;(2,4);[5,7];322;3603.391;0.79193
114;3;20;15;(2,4);[5,7];274;3601.812;0.78099
115;3;20;15;(2,4);[5,7];230;3604.235;0.78174
116;3;20;15;(2,4);[5,7];290;3610.141;0.96314
117;3;20;15;(2,4);[5,7];233;3602.187;0.79828
118;3;20;15;(2,4);[5,7];362;3602.282;0.77009
119;3;20;15;(2,4);[5,7];332;3603.407;0.7975
120;3;20;15;(2,4);[5,7];285;3603.109;0.80545
121;3;15;20;(2,4);[5,7];247;3603.922;0.71895
122;3;15;20;(2,4);[5,7];171;3602.547;0.76342
123;3;15;20;(2,4);[5,7];184;3603.203;0.71176
124;3;15;20;(2,4);[5,7];152;3604.922;0.70191
125;3;15;20;(2,4);[5,7];228;3609.047;0.78759
126;3;15;20;(2,4);[5,7];184;3605.203;0.73045
127;3;15;20;(2,4);[5,7];196;3604.328;0.7297
128;3;15;20;(2,4);[5,7];224;3602.797;0.72389
129;3;15;20;(2,4);[5,7];171;3602.422;0.78899
130;3;15;20;(2,4);[5,7];203;3603.844;0.72353
131;3;15;20;(2,4);[5,7];218;3607.547;0.71953
132;3;15;20;(2,4);[5,7];155;3602.016;0.7
133;3;15;20;(2,4);[5,7];184;3604.407;0.70109
134;3;15;20;(2,4);[5,7];217;3604.281;0.72792
135;3;15;20;(2,4);[5,7];230;3606.938;0.7
136;3;15;20;(2,4);[5,7];212;3602.343;0.74403
137;3;15;20;(2,4);[5,7];158;3602.562;0.73244
138;3;15;20;(2,4);[5,7];168;3605.453;0.71355
139;3;15;20;(2,4);[5,7];226;3602.093;0.75429
140;3;15;20;(2,4);[5,7];199;3605.156;0.75787
141;3;20;20;(2,4);[5,7];478;3604.703;0.99274
142;3;20;20;(2,4);[5,7];385;3601.969;0.84936
143;3;20;20;(2,4);[5,7];411;3607.703;0.98783
144;3;20;20;(2,4);[5,7];384;3611.125;0.98958
145;3;20;20;(2,4);[5,7];406;3602.313;0.99261
146;3;20;20;(2,4);[5,7];471;3602.75;0.83014
147;3;20;20;(2,4);[5,7];355;3605.547;0.98525
148;3;20;20;(2,4);[5,7];351;3600.359;0.85184
149;3;20;20;(2,4);[5,7];442;3611.938;0.99764
150;3;20;20;(2,4);[5,7];368;3601.422;0.81477
151;3;20;20;(2,4);[5,7];398;3604.75;0.99183
152;3;20;20;(2,4);[5,7];344;3603.609;0.85577
153;3;20;20;(2,4);[5,7];389;3605.89;0.98201
154;3;20;20;(2,4);[5,7];400;3610.828;0.84
155;3;20;20;(2,4);[5,7];373;3602.157;0.85769
156;3;20;20;(2,4);[5,7];399;3610.735;0.98895
157;3;20;20;(2,4);[5,7];389;3602.484;0.86245
158;3;20;20;(2,4);[5,7];391;3608.938;0.97951
159;3;20;20;(2,4);[5,7];394;3614.859;0.98985
160;3;20;20;(2,4);[5,7];388;3602.266;0.81879
